DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2014,67.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2015,68.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2016,69.3,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2017,70.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2018,70.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2019,71.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2020,71.9,e,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2021,72.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2022,75.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2023,77.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Ireland,2024,78.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2013,3.2,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2014,3.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2015,3.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2016,3.3,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2017,3.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2018,3.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2019,3.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2020,3.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2021,3.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2022,3.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2023,3.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Iceland,2024,3.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2013,199.4,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2014,206.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2015,205.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2016,205.4,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2017,203.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2018,202.9,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2019,201.5,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2020,200.6,b,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2021,199.6,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2022,198.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2023,198.1,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Italy,2024,198.0,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Liechtenstein,2013,236.8,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Liechtenstein,2014,235.7,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Liechtenstein,2015,237.3,,
ESTAT:TPS00003(1.0),25/02/26 23:00:00,Annual,Persons per square kilometre,Liechtenstein,2016,238.7,b,
